symbol,exchange,name,sector,industry,slug
GIVG,XETRA,Verianos Real Estate,Real Estate,Real Estate Management & Development,verianos-real-estate-ag
VZ,XETRA,Verizon,Communication Services,Diversified Telecommunication Services,verizon-communications?cid=29554
VWSB,XETRA,Vestas Wind,Industrials,Electrical Equipment,vestas-wind?cid=103939
VFC,XETRA,VF,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",vf-corp?cid=1167509
VIH1n,XETRA,VIB Vermoegen,Real Estate,Real Estate Management & Development,vib-vermoegen-ag
VIBG_p,XETRA,Villeroy&Boch AG,Industrials,Building Products,villeroy---boch-ag-vz
SGEF,XETRA,Vinci,Industrials,Construction & Engineering,vinci?cid=963319
Va,XETRA,Visa A,Information Technology,IT Services,visa-inc?cid=963505
V6CG,XETRA,Viscom AG,Information Technology,"Electronic Equipment, Instruments & Components",viscom-ag
V3VGn,XETRA,Vita 34 AG,Healthcare,Health Care Providers & Services,vita-34-ag?cid=962966
VTSCn,XETRA,Vitesco Technologies,Consumer Discretionary,Auto Components,vitesco-technologies-ger
VIV,XETRA,Vivendi,Communication Services,Media,vivendi?cid=29464
05Y,XETRA,Vivoryon Therapeutics,Healthcare,Biotechnology,probiodrug-ag?cid=1129330
VODI,XETRA,Vodafone Group PLC,Communication Services,Wireless Telecommunication Services,vodafone?cid=963006
VOES,XETRA,Voestalpine,Materials,Metals & Mining,voestalppine?cid=963377
VOWG,XETRA,Volkswagen ST,Consumer Discretionary,Automobiles,volkswagen-ag?cid=22824
VOWG_p,XETRA,Volkswagen VZO,Consumer Discretionary,Automobiles,volkswagen-vz?cid=10520
VBX,XETRA,Voltabox AG,Industrials,Electrical Equipment,voltabox-ag
VNAn,XETRA,Vonovia,Real Estate,Real Estate Management & Development,deutsche-annington-immobilien-se?cid=1177367
VOSG,XETRA,Vossloh AG,Industrials,Machinery,vossloh
WCHG,XETRA,Wacker Chemie,Materials,Chemicals,wacker-chemie?cid=25355
WACGn,XETRA,Wacker Neuson,Industrials,Machinery,wacker-neuson-se
WSO1k,XETRA,Wallstreet Online,Communication Services,Interactive Media & Services,wallstreet-online-ag
WMT,XETRA,Walmart,Consumer Staples,Food & Staples Retailing,wal-mart-stores?cid=29541
DIS,XETRA,Walt Disney,Communication Services,Entertainment,disney?cid=29405
